City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bathsheba,BB,2021-07-19 23:03:56,13.2167,-59.5167,83.01,74,40,20.71
67,Betare Oya,CM,2021-07-19 23:08:51,5.6,14.0833,66.13,96,30,1.28
68,Boa Vista,BR,2021-07-19 23:08:51,2.8197,-60.6733,80.58,74,20,3.44
69,Urengoy,RU,2021-07-19 23:08:52,65.9667,78.3667,53.58,61,100,6.85
70,Carutapera,BR,2021-07-19 23:08:52,-1.195,-46.02,76.78,86,7,6.26
71,Tasiilaq,GL,2021-07-19 23:08:52,65.6145,-37.6368,46.56,91,100,11.03
72,Kensington,AU,2021-07-19 23:08:52,-33.9167,151.2167,54.68,64,40,17.27
73,Newport,GB,2021-07-19 23:05:41,51.5877,-2.9984,73.51,79,0,2.91
74,Albany,US,2021-07-19 23:05:18,42.6001,-73.9662,77.31,81,83,1.19
75,Margate,GB,2021-07-19 23:08:53,51.3813,1.3862,65.17,91,3,8.9
76,Weatherford,US,2021-07-19 23:05:40,32.7593,-97.7972,87.12,69,37,4.0
77,Sangar,RU,2021-07-19 23:08:53,63.9242,127.4739,65.35,84,100,4.41
78,Busselton,AU,2021-07-19 23:08:53,-33.65,115.3333,54.05,82,95,14.45
79,Ambulu,ID,2021-07-19 23:08:54,-8.345,113.6058,72.34,88,4,3.44
80,Belmonte,BR,2021-07-19 23:08:54,-15.8631,-38.8828,75.7,89,4,8.63
81,Kautokeino,NO,2021-07-19 23:08:54,69.0125,23.0412,38.79,82,60,18.07
82,Zhigansk,RU,2021-07-19 23:06:25,66.7697,123.3711,64.11,67,5,4.36
83,Indramayu,ID,2021-07-19 23:08:55,-6.3264,108.32,77.92,83,17,6.42
84,Quiruvilca,PE,2021-07-19 23:08:55,-7.9667,-78.2,45.1,60,83,6.78
85,Mar Del Plata,AR,2021-07-19 23:04:02,-38.0023,-57.5575,51.1,66,42,1.99
86,Vuktyl,RU,2021-07-19 23:08:55,63.8567,57.3094,58.87,63,58,8.63
87,Omboue,GA,2021-07-19 23:08:55,-1.5746,9.2618,73.62,80,78,8.9
88,Arraial Do Cabo,BR,2021-07-19 23:04:03,-22.9661,-42.0278,67.05,55,24,24.63
89,Tiksi,RU,2021-07-19 23:08:56,71.6872,128.8694,55.31,88,100,10.58
90,Thompson,CA,2021-07-19 23:08:56,55.7435,-97.8558,76.84,25,31,2.62
91,Caravelas,BR,2021-07-19 23:08:56,-17.7125,-39.2481,72.28,90,0,5.59
92,Esperance,AU,2021-07-19 23:08:57,-33.8667,121.9,53.76,79,99,9.86
93,Sola,VU,2021-07-19 23:08:57,-13.8833,167.55,79.68,78,15,13.09
94,Alikalia,SL,2021-07-19 23:08:57,9.1667,-11.4,70.36,99,95,2.77
95,Minudasht,IR,2021-07-19 23:08:57,37.2289,55.3747,81.72,55,0,1.54
96,San Andres,CO,2021-07-19 23:08:58,12.5847,-81.7006,81.95,81,35,17.63
97,Atuona,PF,2021-07-19 23:08:58,-9.8,-139.0333,77.81,71,35,24.52
98,Bronnoysund,NO,2021-07-19 23:08:58,65.4625,12.1997,50.0,81,90,9.22
99,Qaanaaq,GL,2021-07-19 23:06:49,77.484,-69.3632,38.23,84,94,1.54
100,Salalah,OM,2021-07-19 23:08:58,17.0151,54.0924,77.09,100,90,8.05
101,Ponta Do Sol,PT,2021-07-19 23:08:59,32.6667,-17.1,72.72,78,6,4.41
102,Tutoia,BR,2021-07-19 23:08:59,-2.7619,-42.2744,79.66,81,74,10.4
103,Nikolskoye,RU,2021-07-19 23:08:59,59.7035,30.7861,60.69,82,0,5.35
104,Malanje,AO,2021-07-19 23:09:00,-9.5402,16.341,66.58,32,24,1.45
105,Port Blair,IN,2021-07-19 23:09:00,11.6667,92.75,80.87,85,100,18.95
106,Zhezkazgan,KZ,2021-07-19 23:09:00,47.8043,67.7144,73.74,53,85,1.95
107,Provideniya,RU,2021-07-19 23:09:00,64.3833,-173.3,50.11,81,90,8.95
108,Narsaq,GL,2021-07-19 23:09:01,60.9167,-46.05,50.22,95,98,3.15
109,New Norfolk,AU,2021-07-19 23:09:01,-42.7826,147.0587,47.75,81,99,1.01
110,Asau,RO,2021-07-19 23:09:01,46.4333,26.4,67.75,99,100,2.57
111,Katsuura,JP,2021-07-19 23:09:01,35.1333,140.3,84.31,76,4,3.78
112,Shimoda,JP,2021-07-19 23:09:02,34.6667,138.95,80.71,78,14,2.01
113,Hofn,IS,2021-07-19 23:09:02,64.2539,-15.2082,51.46,85,58,2.77
114,San Patricio,US,2021-07-19 23:09:02,28.017,-97.5169,95.72,57,64,13.49
115,Poya,NC,2021-07-19 23:09:03,-21.35,165.15,72.48,76,93,0.47
116,Tequila,MX,2021-07-19 23:09:03,20.8833,-103.8333,82.78,44,20,2.35
117,Sulphur,US,2021-07-19 23:09:03,30.2366,-93.3774,80.58,92,75,5.75
