City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,Klyuchi,RU,52.2667,79.1667,78.17,38,15,13.11,few clouds
94,Hasaki,JP,35.7333,140.8333,75.6,83,7,6.98,clear sky
95,Puerto Ayora,EC,-0.7393,-90.3518,72.55,92,100,7.0,light rain
96,Saint George,US,37.1041,-113.5841,84.34,52,1,3.0,clear sky
97,Chokurdakh,RU,70.6333,147.9167,44.78,78,42,6.69,scattered clouds
98,Quelimane,MZ,-17.8786,36.8883,82.35,69,75,12.66,broken clouds
99,Mnogovershinnyy,RU,53.9353,139.9242,68.13,91,100,5.88,moderate rain
100,Bud,US,39.447,-86.1758,71.11,86,80,6.89,broken clouds
101,Sobolevo,RU,54.4299,31.8996,71.53,49,100,5.12,overcast clouds
102,Geraldton,AU,-28.7667,114.6,64.13,82,40,8.05,scattered clouds
103,Sitka,US,57.0531,-135.33,55.29,88,90,3.44,mist
104,Souillac,MU,-20.5167,57.5167,68.36,76,82,20.67,light rain
105,Cayenne,GF,4.9333,-52.3333,87.1,74,75,5.01,broken clouds
106,Topchanchi,IN,23.9,86.2,87.37,66,100,2.8,overcast clouds
107,Sorbhog,IN,26.5,90.8667,84.6,81,97,3.2,overcast clouds
108,Portland,US,45.5234,-122.6762,56.21,87,1,0.0,clear sky
109,Quatre Cocos,MU,-20.2078,57.7625,68.09,74,100,22.08,light rain
110,Alta Floresta,BR,-9.8756,-56.0861,82.62,29,0,4.97,clear sky
111,Gat,IL,31.61,34.7642,90.39,42,0,15.41,clear sky
112,Torbay,CA,47.6666,-52.7314,68.88,95,75,6.91,moderate rain
113,Saldanha,ZA,-33.0117,17.9442,55.85,71,78,25.39,light rain
114,Rocky Mountain House,CA,52.3668,-114.9188,56.82,99,100,2.15,overcast clouds
115,Vila,PT,42.0304,-8.1588,83.75,32,0,5.53,clear sky
116,Te Anau,NZ,-45.4167,167.7167,44.15,96,100,2.75,moderate rain
117,Pitsunda,GE,43.1592,40.3378,84.38,75,30,4.63,scattered clouds
118,Port Alfred,ZA,-33.5906,26.891,63.95,27,0,27.49,clear sky
119,Ramganj,BD,23.1,90.85,84.09,78,100,6.46,overcast clouds
120,Srednekolymsk,RU,67.45,153.6833,54.28,83,8,4.12,clear sky
121,Lebu,CL,-37.6167,-73.65,51.44,93,100,4.52,overcast clouds
122,Salinas,US,36.6777,-121.6555,58.57,86,90,4.61,overcast clouds
123,Lakatoro,VU,-16.0999,167.4164,76.55,79,0,3.87,clear sky
124,Kruisfontein,ZA,-34.0033,24.7314,62.89,28,82,20.27,broken clouds
125,Ponta Delgada,PT,37.7333,-25.6667,72.32,73,20,16.11,few clouds
126,Linden,GY,6.0,-58.3,82.54,81,21,1.54,few clouds
127,Uni,RU,57.7535,51.4923,72.37,54,99,8.52,overcast clouds
128,Atuona,PF,-9.8,-139.0333,77.43,69,100,20.83,overcast clouds
129,Codrington,AU,-38.2667,141.9667,44.98,92,100,9.22,overcast clouds
130,Saint-Pierre,RE,-21.3393,55.4781,76.64,74,20,20.71,few clouds
131,Baruun-Urt,MN,46.6806,113.2792,82.62,36,60,7.16,broken clouds
132,Guarapari,BR,-20.6667,-40.4975,73.29,61,5,2.86,clear sky
133,Bengkulu,ID,-3.8004,102.2655,79.12,83,100,1.05,overcast clouds
134,Erenhot,CN,43.6475,111.9767,89.96,28,21,14.79,few clouds
135,Awbari,LY,26.5921,12.7805,100.69,14,0,11.23,clear sky
136,East London,ZA,-33.0153,27.9116,66.74,21,0,17.52,clear sky
137,Albany,US,42.6001,-73.9662,70.75,87,44,7.38,scattered clouds
138,Santa Helena De Goias,BR,-17.8136,-50.5969,72.82,13,0,6.76,clear sky
139,Corn Island,NI,12.1694,-83.0418,81.64,82,98,24.38,overcast clouds
140,San Patricio,US,28.017,-97.5169,82.26,82,95,5.5,overcast clouds
141,Faanui,PF,-16.4833,-151.75,78.94,77,18,20.42,few clouds
142,Laurel,US,39.0993,-76.8483,82.44,75,1,1.99,haze
143,Semnan,IR,35.5729,53.3971,96.64,13,13,13.78,few clouds
144,Zhigalovo,RU,54.8097,105.1578,69.31,67,6,3.53,clear sky
145,Hobart,AU,-42.8794,147.3294,49.91,75,75,5.01,broken clouds
146,Iralaya,HN,15.0,-83.2333,81.27,85,100,15.7,overcast clouds
147,Margate,GB,51.3813,1.3862,84.18,76,4,9.28,clear sky
148,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,65,100,2.66,overcast clouds
149,Novobiryusinskiy,RU,56.9578,97.7076,65.14,79,100,1.83,light rain
150,Ulaanbaatar,MN,47.9077,106.8832,62.73,88,40,4.47,scattered clouds
151,Aykhal,RU,66.0,111.5,60.06,88,100,8.34,overcast clouds
152,Shubarshi,KZ,48.5872,57.1869,96.42,22,100,1.48,overcast clouds
153,Bradford,GB,53.7939,-1.7521,86.23,57,20,5.75,few clouds
154,Touros,BR,-5.1989,-35.4608,77.9,65,34,15.61,scattered clouds
155,Limburg,NL,51.25,6.0,79.25,48,0,1.01,clear sky
156,Georgetown,MY,5.4112,100.3354,86.9,68,20,6.91,heavy intensity rain
157,Kampong Chhnang,KH,12.1667,104.55,77.54,89,100,1.3,overcast clouds
158,Ancud,CL,-41.8697,-73.8203,49.53,95,100,6.76,overcast clouds
159,Meulaboh,ID,4.1363,96.1285,78.71,84,100,3.8,overcast clouds
160,Nouadhibou,MR,20.931,-17.0347,69.8,83,82,19.55,broken clouds
161,Bacolod,PH,10.6667,122.95,79.02,89,83,15.52,light rain
162,Olhao,PT,37.0286,-7.8411,76.89,61,0,9.22,clear sky
163,Bayir,TR,37.2687,28.2167,91.92,22,0,9.08,clear sky
164,Kalangala,UG,-0.3089,32.225,73.35,64,9,13.44,clear sky
165,Zhigansk,RU,66.7697,123.3711,60.13,57,5,8.95,clear sky
166,Gondanglegi,ID,-7.7479,112.0132,75.29,85,7,13.02,clear sky
167,Wainwright,CA,52.839,-110.8572,62.44,93,51,8.1,broken clouds
168,Pimentel,PE,-6.8367,-79.9342,66.49,82,90,5.75,mist
169,Vanavara,RU,60.34,102.2797,64.33,66,88,3.22,overcast clouds
170,Strezhevoy,RU,60.7333,77.5889,78.78,53,47,6.49,scattered clouds
171,Gizo,SB,-8.103,156.8419,80.96,79,19,9.28,light rain
172,Kitob,UZ,39.0843,66.8332,91.98,14,92,18.7,overcast clouds
173,Ulaangom,MN,49.9811,92.0667,75.76,34,0,4.79,clear sky
174,Vanimo,PG,-2.6741,141.3028,78.46,87,44,2.82,scattered clouds
175,Almaznyy,RU,48.0448,40.045,93.34,29,92,13.94,overcast clouds
176,Luau,AO,-10.7073,22.2247,87.91,13,5,3.96,clear sky
177,Katipunan,PH,7.5825,122.8306,81.59,77,94,7.96,overcast clouds
178,Japura,ID,-0.3167,102.35,79.02,77,82,3.67,broken clouds
179,Springbok,ZA,-29.6643,17.8865,48.58,45,0,9.13,clear sky
180,Tonj,SS,7.2737,28.6822,81.64,63,100,4.61,overcast clouds
181,Constitucion,CL,-35.3333,-72.4167,54.52,77,100,2.86,overcast clouds
182,Ponta Do Sol,PT,32.6667,-17.1,79.72,63,0,1.1,clear sky
183,Kautokeino,NO,69.0125,23.0412,51.4,56,100,15.55,overcast clouds
184,Chicama,PE,-7.8447,-79.1469,63.14,80,7,3.67,clear sky
185,Neiafu,TO,-18.65,-173.9833,75.88,83,20,5.75,few clouds
186,Aksum,ET,14.1245,38.7244,56.88,89,100,3.74,overcast clouds
187,Carnarvon,AU,-24.8667,113.6333,62.67,67,7,8.05,clear sky
188,Nikolskoye,RU,59.7035,30.7861,67.89,41,89,5.88,overcast clouds
189,Garowe,SO,8.4054,48.4845,91.02,29,73,30.62,broken clouds
