City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chabahar,IR,25.2919,60.643,88.47,77,10,11.25,clear sky
80,Saurimo,AO,-9.6608,20.3916,62.2,29,2,5.99,clear sky
81,Port Blair,IN,11.6667,92.75,80.96,85,100,22.12,overcast clouds
82,Castro,BR,-24.7911,-50.0119,50.5,60,6,2.33,clear sky
83,Barrow,US,71.2906,-156.7887,37.42,87,90,19.57,light rain
84,Nakhon Phanom,TH,17.3333,104.4167,73.8,97,100,9.91,light rain
85,Tiksi,RU,71.6872,128.8694,39.94,93,100,4.52,overcast clouds
86,Naryan-Mar,RU,67.6713,53.087,41.58,94,94,9.17,overcast clouds
87,Porto Real,BR,-22.4197,-44.2903,57.43,75,100,0.98,overcast clouds
88,Porto Murtinho,BR,-21.6989,-57.8825,68.43,24,0,1.92,clear sky
89,Provideniya,RU,64.3833,-173.3,44.71,81,90,11.18,fog
90,Esperance,AU,-33.8667,121.9,54.0,69,100,18.39,overcast clouds
91,Severo-Kurilsk,RU,50.6789,156.125,52.59,92,39,2.73,scattered clouds
92,Vao,NC,-22.6667,167.4833,70.27,70,51,12.73,broken clouds
93,Olinda,BR,-8.0089,-34.8553,73.13,83,75,5.75,broken clouds
94,Cabo San Lucas,MX,22.8909,-109.9124,97.81,63,28,11.52,scattered clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,51.71,76,15,11.18,few clouds
96,Nikolskoye,RU,59.7035,30.7861,52.39,77,9,5.95,clear sky
97,Canico,PT,32.6333,-16.85,72.01,85,20,3.44,few clouds
98,Sitka,US,57.0531,-135.33,57.09,77,75,4.61,broken clouds
99,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,91,0,18.41,clear sky
100,Pevek,RU,69.7008,170.3133,41.77,67,1,5.32,clear sky
101,Polis,CY,35.0367,32.4264,76.82,89,3,7.94,clear sky
102,Kieta,PG,-6.2167,155.6333,82.78,78,99,6.35,light rain
103,Upernavik,GL,72.7868,-56.1549,43.09,80,71,5.03,broken clouds
104,Butaritari,KI,3.0707,172.7902,82.98,75,29,12.44,light rain
105,Puerto Penasco,MX,31.3167,-113.5333,89.91,72,29,11.99,scattered clouds
106,Victoria,HK,22.2855,114.1577,83.32,90,83,5.01,broken clouds
107,Chuy,UY,-33.6971,-53.4616,48.56,77,9,1.86,clear sky
108,Batagay-Alyta,RU,67.8006,130.4114,57.72,61,26,2.01,scattered clouds
109,Labuhan,ID,-6.8844,112.2051,75.96,84,82,7.16,broken clouds
110,Saskylakh,RU,71.9167,114.0833,58.35,69,100,13.49,overcast clouds
111,Mar Del Plata,AR,-38.0023,-57.5575,53.13,45,100,10.0,overcast clouds
112,Tungor,RU,53.3808,142.9564,71.71,82,55,11.05,broken clouds
