City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Tuktoyaktuk,CA,64.4,few clouds,69.4541,-133.0374,End of The Road Ltd.
102,Nome,US,46.47,mist,64.5011,-165.4064,Dredge 7 Inn
103,Berlevag,NO,46.35,light rain,70.8578,29.0864,Kvitbrakka
106,Kenai,US,55.02,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
108,Nikolskoye,RU,72.39,broken clouds,59.7035,30.7861,Tourist House - Sablino
111,Richards Bay,ZA,66.61,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
112,Tasiilaq,GL,41.59,overcast clouds,65.6145,-37.6368,The Red House
113,Dikson,RU,52.79,broken clouds,73.5069,80.5464,
115,Belaya Gora,RU,50.65,overcast clouds,68.5333,146.4167,
117,Lavrentiya,RU,40.98,light rain,65.5833,-171.0,
118,Longyearbyen,SJ,44.44,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
121,Airai,TL,57.04,clear sky,-8.9266,125.4092,Juvinal Martin
125,Clyde River,CA,41.23,overcast clouds,70.4692,-68.5914,Qamaq Hotel
128,Viedma,AR,52.92,overcast clouds,-40.8135,-62.9967,Hotel Cristal
129,Khatanga,RU,55.65,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
131,Saint-Philippe,RE,72.95,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
132,Moerai,PF,73.62,clear sky,-22.4333,-151.3333,Le Manotel
133,Kruisfontein,ZA,60.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
135,Havoysund,NO,47.28,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
136,Kaitangata,NZ,48.92,light rain,-46.2817,169.8464,Kaitangata Motor Camp
137,Sorland,NO,50.07,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
138,Pevek,RU,39.04,few clouds,69.7008,170.3133,Hotel ABC
140,Vila Velha,BR,74.97,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
141,Mareeba,AU,57.92,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
142,Ilulissat,GL,41.05,overcast clouds,69.2167,-51.1,Hotel Arctic
144,Portland,US,58.14,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
145,Grindavik,IS,56.55,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
150,Fairbanks,US,61.61,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
152,Lagoa,PT,67.32,broken clouds,39.05,-27.9833,Casa Das Faias
153,Chuy,UY,51.62,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
154,Esperance,AU,55.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
155,Goderich,CA,67.91,clear sky,43.7501,-81.7165,Harmony Inn
156,Narsaq,GL,46.27,moderate rain,60.9167,-46.05,Narsaq Kayak Hostel
157,Halifax,CA,71.69,mist,44.6453,-63.5724,Hotel Halifax
159,Fortuna,US,55.33,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
160,Qaqortoq,GL,45.21,moderate rain,60.7167,-46.0333,Hotel Qaqortoq
163,Vredendal,ZA,52.77,light rain,-31.6683,18.5012,Tharrakamma Guest House
165,East London,ZA,65.34,clear sky,-33.0153,27.9116,Tu Casa
167,Muyezerskiy,RU,60.42,overcast clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
168,Ust-Ishim,RU,73.76,few clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
169,Klaksvik,FO,52.72,clear sky,62.2266,-6.589,Airbnb rooms
171,Bonavista,CA,59.0,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
174,Tromso,NO,48.85,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
176,Krasnoshchekovo,RU,68.2,scattered clouds,51.6708,82.7289,Viro гостиница
178,Srednekolymsk,RU,53.22,clear sky,67.45,153.6833,
180,Bemidji,US,66.63,scattered clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
184,Paamiut,GL,42.22,overcast clouds,61.994,-49.6678,Hotel Ivaana
185,Kofele,ET,56.16,light rain,7.0667,38.7833,
189,Faya,SA,66.31,broken clouds,18.3851,42.4509,مقبرة ال مجمل
190,San Cristobal,VE,68.85,broken clouds,7.7669,-72.225,Posada Villaven C.A.
191,Noumea,NC,71.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
192,Ust-Tsilma,RU,57.25,scattered clouds,65.441,52.1498,U Praskov'i
195,Yulara,AU,60.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
197,Vao,NC,68.86,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
198,Tilichiki,RU,51.13,overcast clouds,60.4667,166.1,
199,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
203,Lompoc,US,57.52,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
204,Te Anau,NZ,44.11,moderate rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
205,Leningradskiy,RU,35.65,overcast clouds,69.3833,178.4167,Gostinitsa
206,Clinton,US,68.9,broken clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
207,Castro,BR,59.45,clear sky,-24.7911,-50.0119,CHACARA BAILLY
208,Santa Lucia,ES,69.76,few clouds,27.9117,-15.5407,Las Tirajanas
209,Grand Gaube,MU,70.2,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
212,Saint Anthony,US,69.78,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
213,Yatou,CN,74.57,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
214,Leeton,AU,35.51,few clouds,-34.5667,146.4,Historic Hydro Motor Inn
216,Egvekinot,RU,38.43,overcast clouds,66.3167,-179.1667,
218,Codrington,AU,44.31,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
219,High Level,CA,53.71,mist,58.5169,-117.136,Days Inn by Wyndham High Level
220,Ancud,CL,49.53,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
222,Pisco,PE,60.85,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
223,Saint-Pierre,RE,73.04,light rain,-21.3393,55.4781,Lindsey Hôtel
224,Karratha,AU,74.03,few clouds,-20.7377,116.8463,ibis Styles Karratha
226,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
228,Prince Rupert,CA,56.89,overcast clouds,54.3161,-130.3201,Crest Hotel
230,Haines Junction,CA,42.75,overcast clouds,60.7522,-137.5108,Parkside Inn
231,Muros,ES,74.98,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
233,Mezen,RU,54.86,scattered clouds,65.8522,44.24,Gostevoy Domik
234,Mar Del Plata,AR,54.12,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
235,Okha,RU,63.91,overcast clouds,53.5739,142.9478,Империя
237,Necochea,AR,48.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
238,Sovetskiy,RU,64.27,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
239,Omsukchan,RU,61.05,overcast clouds,62.5333,155.8,Zori
240,Ulladulla,AU,45.5,clear sky,-35.35,150.4667,Sandpiper Motel
241,Wanaka,NZ,43.11,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
242,Sobolevo,RU,71.64,overcast clouds,54.4299,31.8996,
245,Comodoro Rivadavia,AR,39.06,clear sky,-45.8667,-67.5,Austral Hotel
247,Teya,RU,58.93,moderate rain,60.3778,92.6267,
251,Cap Malheureux,MU,70.29,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
255,Dalby,AU,34.99,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
256,Rawson,AR,51.12,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
257,Huejuquilla El Alto,MX,66.83,broken clouds,22.6,-103.8667,Hotel Huexuquillan
262,Chokurdakh,RU,43.12,scattered clouds,70.6333,147.9167,
263,Ilhabela,BR,66.15,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
264,Uyemskiy,RU,60.85,scattered clouds,64.4743,40.8524,Turkompleks Malyye Karely
265,Mackay,AU,60.04,clear sky,-21.15,149.2,International Lodge Motel
266,Zaykovo,RU,73.0,overcast clouds,57.5613,62.7568,
269,Pacifica,US,60.06,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
270,Atoyac,MX,68.2,overcast clouds,20.0167,-103.5333,OYO Hotel Del Portal
272,Ylivieska,FI,65.32,overcast clouds,64.0833,24.55,hotel Käenpesä
273,Parana,AR,55.56,clear sky,-31.732,-60.5238,Howard Johnson Plaza Resort & Casino Mayorazgo
274,Sept-Iles,CA,67.24,broken clouds,50.2001,-66.3821,Comfort Inn
275,Sheboygan,US,67.51,broken clouds,43.7333,-87.9334,Baymont by Wyndham Plymouth
276,Flinders,AU,48.2,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
279,Okhotsk,RU,57.15,light rain,59.3833,143.3,
280,Kangaatsiaq,GL,42.42,overcast clouds,68.3065,-53.4641,Nukissiorfiit
281,Batagay-Alyta,RU,57.56,overcast clouds,67.8006,130.4114,
282,Torbay,CA,68.77,moderate rain,47.6666,-52.7314,Gallows Cove
283,Vardo,NO,52.0,overcast clouds,70.3705,31.1107,Vardø Hotel AS
284,Andenes,NO,50.07,overcast clouds,69.3143,16.1194,Hotell Marena
285,Broome,US,67.37,mist,42.2506,-75.833,Chenango Valley State Park
287,Hervey Bay,AU,50.11,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
291,Deputatskiy,RU,46.53,overcast clouds,69.3,139.9,Baza Otdykha
292,Cherskiy,RU,48.45,broken clouds,68.75,161.3,Gostinitsa
294,Waingapu,ID,74.07,few clouds,-9.6567,120.2641,Pondok Wisata Elim
296,Nombre De Dios,MX,61.81,broken clouds,23.85,-104.2333,Uraján de Luna Hotel Boutique & SPA
300,Kedrovyy,RU,64.81,broken clouds,56.1667,91.8167,
301,Kyren,RU,64.38,overcast clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
